iso,zone,year,dc_load_mw,forecast_vintage,data_source
PJM,AE,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2027,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2028,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2029,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2030,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2031,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2032,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2033,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2034,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2035,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2036,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2037,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2038,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2039,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2040,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2041,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2042,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2043,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2044,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2045,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2026,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2027,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2028,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2029,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2030,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2031,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2032,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2033,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2034,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2035,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2036,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2037,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2038,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2039,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2040,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2041,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2042,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2043,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2044,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2045,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AE,2046,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2025,1761,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2026,3936,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2027,5093,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2028,6134,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2029,7280,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2030,10346,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2031,14252,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2032,18002,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2033,18028,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2034,18021,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2035,18017,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2036,18011,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2037,18010,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2038,18008,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2039,18009,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2040,18009,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2041,18011,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2042,18012,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2043,18020,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2044,18024,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2045,18026,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2026,2699,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2027,4191,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2028,5496,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2029,7051,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2030,8665,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2031,10031,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2032,11393,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2033,13023,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2034,14649,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2035,16276,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2036,17894,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2037,19896,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2038,20729,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2039,20727,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2040,20725,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2041,20722,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2042,20724,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2043,20723,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2044,20724,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2045,20725,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,AEP,2046,20726,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2025,8,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2026,170,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2027,412,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2028,649,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2029,998,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2030,1214,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2031,1490,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2032,1810,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2033,2027,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2034,2196,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2035,2239,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2036,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2037,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2038,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2039,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2040,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2041,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2042,2239,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2043,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2044,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2045,2240,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2026,165,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2027,276,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2028,319,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2029,590,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2030,1213,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2031,1557,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2032,1929,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2033,2197,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2034,2610,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2035,2626,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2036,2624,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2037,2625,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2038,2624,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2039,2624,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2040,2624,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2041,2775,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2042,2775,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2043,2775,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2044,2776,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2045,2776,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,APS,2046,2776,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2025,56,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2026,161,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2027,307,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2028,506,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2029,859,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2030,1477,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2031,2060,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2032,2499,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2033,2722,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2034,2791,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2035,2792,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2036,2790,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2037,2790,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2038,2790,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2039,2790,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2040,2791,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2041,2791,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2042,2790,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2043,2791,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2044,2792,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2045,2793,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2026,132,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2027,165,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2028,299,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2029,431,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2030,1129,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2031,1302,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2032,1538,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2033,1823,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2034,2020,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2035,2169,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2036,2211,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2037,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2038,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2039,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2040,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2041,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2042,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2043,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2044,2209,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2045,2210,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,ATSI,2046,2211,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2025,12,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2026,20,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2027,27,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2028,36,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2029,80,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2030,124,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2031,168,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2032,208,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2033,245,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2034,282,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2035,318,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2036,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2037,355,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2038,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2039,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2040,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2041,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2042,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2043,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2044,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2045,354,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2026,18,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2027,25,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2028,43,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2029,110,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2030,176,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2031,243,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2032,307,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2033,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2034,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2035,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2036,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2037,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2038,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2039,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2040,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2041,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2042,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2043,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2044,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2045,354,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,BGE,2046,355,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2025,546,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2026,906,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2027,1226,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2028,1651,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2029,2135,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2030,2664,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2031,3194,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2032,3708,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2033,4182,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2034,4568,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2035,4822,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2036,4940,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2037,4989,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2038,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2039,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2040,4992,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2041,4993,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2042,4992,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2043,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2044,4990,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2045,4991,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2026,885,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2027,1275,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2028,2058,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2029,3504,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2030,5176,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2031,6850,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2032,8496,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2033,9892,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2034,10537,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2035,10789,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2036,10846,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2037,10854,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2038,10860,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2039,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2040,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2041,10865,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2042,10866,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2043,10865,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2044,10868,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2045,10870,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,COMED,2046,10870,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2027,297,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2028,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2029,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2030,335,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2031,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2032,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2033,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2034,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2035,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2036,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2037,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2038,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2039,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2040,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2041,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2042,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2043,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2044,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2045,334,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2026,0,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2027,144,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2028,277,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2029,411,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2030,954,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2031,1392,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2032,1821,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2033,2144,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2034,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2035,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2036,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2037,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2038,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2039,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2040,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2041,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2042,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2043,2241,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2044,2242,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2045,2243,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DAYTON,2046,2244,2026_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2025,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2026,0,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2027,1,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2028,42,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2029,198,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2030,241,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2031,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2032,242,2025_forecast,PJM_Load_Forecast_Table_B9b
PJM,DEOK,2033,242,2025_forecast,PJM_Load_Forecast_Table_B9b
